Date,Index
2012-11-23,724.0
2012-11-22,716.0
2012-11-21,706.0
2012-11-20,695.0
2012-11-19,687.0
2012-11-16,674.0
2012-11-15,664.0
2012-11-14,655.0
2012-11-13,653.0
2012-11-12,652.0
2012-11-09,649.0
2012-11-08,644.0
2012-11-07,647.0
2012-11-06,654.0
2012-11-05,662.0
2012-11-02,669.0
2012-11-01,671.0
2012-10-31,678.0
2012-10-30,689.0
2012-10-29,693.0
2012-10-26,699.0
2012-10-25,706.0
2012-10-24,712.0
2012-10-23,716.0
2012-10-22,721.0
2012-10-19,732.0
2012-10-18,740.0
2012-10-16,754.0
2012-10-15,768.0
2012-10-12,776.0
2012-10-11,783.0
2012-10-10,787.0
2012-10-09,789.0
2012-10-08,791.0
2012-10-05,795.0
2012-10-04,802.0
2012-10-03,810.0
2012-10-02,818.0
2012-10-01,825.0
2012-09-28,830.0
2012-09-27,836.0
2012-09-26,844.0
2012-09-25,847.0
2012-09-24,847.0
2012-09-21,847.0
2012-09-20,850.0
2012-09-19,845.0
2012-09-18,843.0
2012-09-17,839.0
2012-09-14,834.0
2012-09-13,828.0
2012-09-12,825.0
2012-09-11,821.0
2012-09-10,827.0
2012-09-07,832.0
2012-09-06,837.0
2012-09-05,845.0
2012-09-04,849.0
2012-09-03,852.0
2012-08-31,857.0
2012-08-30,855.0
2012-08-29,858.0
2012-08-28,857.0
2012-08-24,853.0
2012-08-23,845.0
2012-08-22,833.0
2012-08-21,833.0
